+-----------+------------+
|  # Epoch  | Train_loss |
+-----------+------------+
|  epoch 1  |   0.5950   |
|  epoch 2  |   0.4927   |
|  epoch 3  |   0.4475   |
|  epoch 4  |   0.4167   |
|  epoch 5  |   0.3931   |
|  epoch 6  |   0.3714   |
|  epoch 7  |   0.3487   |
|  epoch 8  |   0.3220   |
|  epoch 9  |   0.3012   |
|  epoch 10 |   0.2782   |
|  epoch 11 |   0.2538   |
|  epoch 12 |   0.2355   |
|  epoch 13 |   0.2142   |
|  epoch 14 |   0.1920   |
|  epoch 15 |   0.1823   |
|  epoch 16 |   0.1628   |
|  epoch 17 |   0.1455   |
|  epoch 18 |   0.1376   |
|  epoch 19 |   0.1206   |
|  epoch 20 |   0.1219   |
|  epoch 21 |   0.1102   |
|  epoch 22 |   0.1024   |
|  epoch 23 |   0.0912   |
|  epoch 24 |   0.0829   |
|  epoch 25 |   0.0515   |
|  epoch 26 |   0.0362   |
|  epoch 27 |   0.0340   |
|  epoch 28 |   0.0348   |
|  epoch 29 |   0.0294   |
|  epoch 30 |   0.0306   |
|  epoch 31 |   0.0343   |
|  epoch 32 |   0.0316   |
|  epoch 33 |   0.0284   |
|  epoch 34 |   0.0342   |
|  epoch 35 |   0.0286   |
|  epoch 36 |   0.0271   |
|  epoch 37 |   0.0266   |
|  epoch 38 |   0.0276   |
|  epoch 39 |   0.0245   |
|  epoch 40 |   0.0211   |
|  epoch 41 |   0.0221   |
|  epoch 42 |   0.0254   |
|  epoch 43 |   0.0272   |
|  epoch 44 |   0.0248   |
|  epoch 45 |   0.0221   |
|  epoch 46 |   0.0219   |
|  epoch 47 |   0.0233   |
|  epoch 48 |   0.0265   |
|  epoch 49 |   0.0216   |
|  epoch 50 |   0.0136   |
|  epoch 51 |   0.0101   |
|  epoch 52 |   0.0083   |
|  epoch 53 |   0.0074   |
|  epoch 54 |   0.0088   |
|  epoch 55 |   0.0079   |
|  epoch 56 |   0.0091   |
|  epoch 57 |   0.0098   |
|  epoch 58 |   0.0088   |
|  epoch 59 |   0.0084   |
|  epoch 60 |   0.0098   |
|  epoch 61 |   0.0089   |
|  epoch 62 |   0.0106   |
|  epoch 63 |   0.0074   |
|  epoch 64 |   0.0093   |
|  epoch 65 |   0.0099   |
|  epoch 66 |   0.0068   |
|  epoch 67 |   0.0058   |
|  epoch 68 |   0.0090   |
|  epoch 69 |   0.0080   |
|  epoch 70 |   0.0094   |
|  epoch 71 |   0.0101   |
|  epoch 72 |   0.0081   |
|  epoch 73 |   0.0085   |
|  epoch 74 |   0.0073   |
|  epoch 75 |   0.0054   |
|  epoch 76 |   0.0052   |
|  epoch 77 |   0.0052   |
|  epoch 78 |   0.0047   |
|  epoch 79 |   0.0047   |
|  epoch 80 |   0.0051   |
|  epoch 81 |   0.0037   |
|  epoch 82 |   0.0048   |
|  epoch 83 |   0.0045   |
|  epoch 84 |   0.0036   |
|  epoch 85 |   0.0045   |
|  epoch 86 |   0.0049   |
|  epoch 87 |   0.0049   |
|  epoch 88 |   0.0047   |
|  epoch 89 |   0.0044   |
|  epoch 90 |   0.0040   |
|  epoch 91 |   0.0048   |
|  epoch 92 |   0.0042   |
|  epoch 93 |   0.0036   |
|  epoch 94 |   0.0042   |
|  epoch 95 |   0.0042   |
|  epoch 96 |   0.0036   |
|  epoch 97 |   0.0037   |
|  epoch 98 |   0.0042   |
|  epoch 99 |   0.0033   |
| epoch 100 |   0.0037   |
+-----------+------------+
